№,коллекция,название,цвет,артикул,размер,цена1,цена2
1,ATELIER,Tango,Золото,29021,106/100,346,290
2,ATELIER,Tango,Темно-синий,29028,106/100,346,290
3,ATELIER,Tango,Красный,29029,106/100,346,290
4,ATELIER,Tango,Зеленый,29030,106/100,346,290
5,ATELIER,Tango,Черный,29032,106/100,346,290
6,ATELIER,Tango,Эспрессо,29033,106/100,346,290
7,ATELIER,Tango,Слон. кость,29038,106/100,346,290
8,ATELIER,Tango,-,29035,106/100,346,290
9,ATELIER,Tango,-,29001,106/100,346,290
10,ATELIER,Tango,-,29061,106/100,346,290
11,ATELIER,Tango,-,29062,106/100,346,290
12,ATELIER,Tango,-,29063,106/100,346,290
13,ATELIER,Tango,-,29066,106/100,346,290
14,ATELIER,Mettalix Astrakhan,Белый,29087,106/100,396,340
15,ATELIER,Mettalix Astrakhan,-,29090,106/100,396,340
16,ATELIER,Mettalix Astrakhan,-,29086,106/100,396,340
17,ATELIER,Mettalix Astrakhan,-,29085,106/100,396,340
18,ATELIER,Walnut,Шоколад,28245,106/100,396,340
19,ATELIER,Walnut,-,28243,106/100,396,340
20,ATELIER,Metallix Beaudiva,Белый,29050,106/100,360,290
21,ATELIER,Metallix Beaudiva,-,29051,106/100,360,290
22,ATELIER,Dust,-,28371,106/100,296,240
23,ATELIER,Dust,-,28323,106/100,296,240
24,ATELIER,Dust,Алюминий,28396,106/100,296,240
25,ATELIER,Dust,Темно-серый,28321,106/100,296,240
26,ATELIER,Dust,Красный,28375,106/100,296,240
27,ATELIER,Dust,-,28390,106/100,296,240
28,ATELIER,Maple,-,28554,106/100,296,240
29,ATELIER,Maple,Сепия,28553,106/100,296,240
30,ATELIER,Maple,-,28501,106/100,296,240
31,ATELIER,Maple,-,28552,106/100,296,240
32,ATELIER,Maple,Шоколад,28504,106/100,296,240
33,ATELIER,Maple,-,28500,106/100,296,240
34,ATELIER,Maple,-,28506,106/100,296,240
35,ATELIER,Croco,Красный,20092,106/100,320,277
36,ATELIER,Croco,Темно-синий,20093,106/100,320,277
37,ATELIER,Croco,Бордо,20013,106/100,320,277
38,ATELIER,Croco,Черный,20010,106/100,320,277
